ID,Name,StateID,PostCode,GPSCoordinates,UpperLeft,LowerRight,LastUpdated,Deleted
2696,CARTWRIGHT,1,2168,"150.8903560,-33.9265770,0","150.8743486,-33.9173181","150.9063634,-33.9358349",15/4/2011 16:30:52,0
2697,CARTWRIGHTS HILL,1,2650,"147.3895750,-35.0697540,0","147.3735676,-35.0606212","147.4055824,-35.0788858",15/4/2011 16:30:52,0
2698,CARWARP,5,3494,"142.2308110,-34.4579910,0","141.9746922,-34.3106578","142.4869298,-34.6050647",15/4/2011 16:30:52,0
2699,CARWELL,1,2849,"149.9063680,-32.8404090,0","149.8423383,-32.8029020","149.9703977,-32.8779001",15/4/2011 16:30:52,0
2700,CARWOOLA,1,2620,"149.3369750,-35.3652940,0","149.2729453,-35.3288894","149.4010047,-35.4016822",15/4/2011 16:30:52,0
2701,CASCADE,1,2453,"152.7893060,-30.2329360,0","152.7252763,-30.1943671","152.8533357,-30.2714898",15/4/2011 16:30:52,0
2702,CASCADE,6,6450,"121.1180600,-33.3819400,0","120.6058224,-33.0832805","121.6302976,-33.6795772",15/4/2011 16:30:52,0
2703,CASEY,7,2913,"149.0982140,-35.1715050,0","149.0822066,-35.1623836","149.1142214,-35.1806254",15/4/2011 16:30:52,0
2704,CASEY,4,7151,"146.2572750,-41.1581400,0","146.2558324,-41.1551949","146.2621276,-41.1614901",15/4/2011 16:30:52,0
2705,CASHMERE,2,4500,"152.9076840,-27.3107230,0","152.8436543,-27.2710590","152.9717137,-27.3503728",15/4/2011 16:30:52,0
2706,CASHMORE,5,3305,"141.4812320,-38.3119670,0","141.4172023,-38.2769382","141.5452617,-38.3469789",15/4/2011 16:30:52,0
2707,CASINO,1,2470,"153.0508120,-28.8754610,0","153.0449810,-28.8730240","153.0708390,-28.8882030",15/4/2011 16:30:52,0
2708,CASSILIS,1,2329,"149.9804350,-32.0078830,0","149.7243162,-31.8563709","150.2365538,-32.1591451",15/4/2011 16:30:52,0
2709,CASSILIS,5,3898,"147.6008520,-37.2216610,0","147.5688372,-37.2038887","147.6328668,-37.2394291",15/4/2011 16:30:52,0
2710,CASSINI,3,5223,"137.3197960,-35.5874680,0","137.0636772,-35.4421526","137.5759148,-35.7325201",15/4/2011 16:30:52,0
2711,CASSOWARY,2,4873,"145.4247580,-16.5303900,0","145.3607283,-16.4875980","145.4887877,-16.5731725",15/4/2011 16:30:52,0
2712,CASTAMBUL,3,5076,"138.7526950,-34.8693570,0","138.7366876,-34.8602018","138.7687024,-34.8785111",15/4/2011 16:30:52,0
2713,CASTAWAYS BEACH,2,4567,"153.1057280,-26.4302580,0","153.0897206,-26.4202658","153.1217354,-26.4402493",15/4/2011 16:30:52,0
2714,CASTELLA,5,3777,"145.4201300,-37.5269260,0","145.3561003,-37.4915215","145.4841597,-37.5623137",15/4/2011 16:30:52,0
2715,CASTERTON,5,3311,"141.4059440,-37.5842110,0","141.2778846,-37.5134395","141.5340034,-37.6549153",15/4/2011 16:30:52,0
2716,CASTLE COVE,1,2069,"151.1999480,-33.7841650,0","151.1839406,-33.7748907","151.2159554,-33.7934383",15/4/2011 16:30:52,0
2717,CASTLE CREEK,5,3691,"146.8108190,-36.1866470,0","146.7467893,-36.1506164","146.8748487,-36.2226611",15/4/2011 16:30:52,0
2718,CASTLE CREEK,2,4715,"150.2938780,-24.7539650,0","150.0377592,-24.5917357","150.5499968,-24.9159827",15/4/2011 16:30:52,0
2719,CASTLE DONNINGTON,5,3585,"143.5942750,-35.4180380,0","143.5302453,-35.3816572","143.6583047,-35.4544024",15/4/2011 16:30:52,0
2720,CASTLE DOYLE,1,2350,"151.7580100,-30.5867040,0","151.6939803,-30.5482745","151.8220397,-30.6251183",15/4/2011 16:30:52,0
2721,CASTLE FORBES BAY,4,7116,"146.9796300,-43.1312090,0","146.9476152,-43.1149209","147.0116448,-43.1474928",15/4/2011 16:30:52,0
2722,CASTLE HILL,1,2154,"151.0056160,-33.7323070,0","150.9736012,-33.7137461","151.0376308,-33.7508639",15/4/2011 16:30:52,0
2723,CASTLE HILL,2,4810,"146.8083590,-19.2557840,0","146.7923516,-19.2452499","146.8243664,-19.2663174",15/4/2011 16:30:52,0
2724,CASTLE ROCK,1,2333,"150.7328630,-32.2100620,0","150.6048036,-32.1345045","150.8609224,-32.2855568",15/4/2011 16:30:52,0
2725,CASTLECRAG,1,2068,"151.2126430,-33.8024030,0","151.1966356,-33.7931306","151.2286504,-33.8116744",15/4/2011 16:30:52,0
2726,CASTLEMAINE,5,3450,"144.2171010,-37.0638690,0","144.1850862,-37.0460596","144.2491158,-37.0816743",15/4/2011 16:30:52,0
2727,CASTLEREAGH,1,2749,"150.6765500,-33.6687960,0","150.6125203,-33.6316428","150.7405797,-33.7059332",15/4/2011 16:30:52,0
2728,CASTLETOWN,6,6450,"121.9094830,-33.8363370,0","121.8934756,-33.8270683","121.9254904,-33.8456047",15/4/2011 16:30:52,0
2729,CASTRA,4,7315,"146.1156360,-41.2875090,0","146.0836212,-41.2707384","146.1476508,-41.3042752",15/4/2011 16:30:52,0
2730,CASUARINA,8,0810,"130.8819444,-12.3752778,0","130.8659370,-12.3643788","130.8979518,-12.3861763",10/11/2011 13:05:20,0
2731,CASUARINA,1,2487,"153.5691750,-28.2959770,0","153.5531676,-28.2861518","153.5851824,-28.3058013",15/4/2011 16:30:52,0
2732,CASUARINA,6,6167,"115.8745630,-32.2376220,0","115.8425482,-32.2187442","115.9065778,-32.2564959",15/4/2011 16:30:52,0
2733,CASULA,1,2170,"150.9077530,-33.9473500,0","150.8757382,-33.9288357","150.9397678,-33.9658602",15/4/2011 16:30:52,0
2734,CASULA MALL,1,2170,"150.9088260,-33.9502300,0","150.9056874,-33.9471424","150.9119826,-33.9534376",15/4/2011 16:30:52,0
2735,CATABY,6,6507,"115.5419500,-30.7365850,0","115.2858312,-30.5830136","115.7980688,-30.8899120",15/4/2011 16:30:52,0
2736,CATALINA,1,2536,"150.1925520,-35.7234760,0","150.1765446,-35.7144169","150.2085594,-35.7325340",15/4/2011 16:30:52,0
2737,CATANI,5,3981,"145.6484370,-38.1889050,0","145.5844073,-38.1538169","145.7124667,-38.2239762",15/4/2011 16:30:52,0
2738,CATARACT,1,2560,"150.8040490,-34.2618830,0","150.6759896,-34.1880764","150.9321084,-34.3356249",15/4/2011 16:30:52,0
2739,CATHCART,1,2632,"149.3883350,-36.8436990,0","149.2602756,-36.7722300","149.5163944,-36.9151012",15/4/2011 16:30:52,0
2740,CATHCART,5,3377,"142.8796480,-37.3049350,0","142.8156183,-37.2694254","142.9436777,-37.3404278",15/4/2011 16:30:52,0
2741,CATHERINE FIELD,1,2557,"150.7748580,-33.9935450,0","150.7108283,-33.9565326","150.8388877,-34.0305413",15/4/2011 16:30:52,0
2742,CATHERINE HILL BAY,1,2281,"151.6263950,-33.1617950,0","151.6103876,-33.1524538","151.6424024,-33.1711352",15/4/2011 16:30:52,0
2743,CATHKIN,5,3714,"145.5890810,-37.1410800,0","145.5250513,-37.1054932","145.6531107,-37.1766501",15/4/2011 16:30:52,0
2744,CATHUNDRAL,1,2823,"147.8370120,-31.9214960,0","147.5808932,-31.7698416","148.0931308,-32.0729007",15/4/2011 16:30:52,0
2745,CATTAI,1,2756,"150.9095150,-33.5558410,0","150.8775002,-33.5372420","150.9415298,-33.5744360",15/4/2011 16:30:52,0
2746,CATTERICK,6,6255,"116.1450000,-33.8261100,0","116.0809703,-33.7890248","116.2090297,-33.8631791",15/4/2011 16:30:52,0
2747,CATTLE CREEK,1,2339,"150.3009120,-31.7532120,0","150.0447932,-31.6012814","150.5570308,-31.9048937",15/4/2011 16:30:52,0
2748,CATTLE CREEK,2,4407,"150.8366780,-27.6483000,0","150.5805592,-27.4900436","151.0927968,-27.8063277",15/4/2011 16:30:52,0
2749,CATTLE CREEK,2,4626,"151.3098690,-25.4638380,0","151.2458393,-25.4235350","151.3738987,-25.5041275",15/4/2011 16:30:52,0
2750,CATUMNAL,5,3537,"143.6441170,-36.0902880,0","143.5800873,-36.0542131","143.7081467,-36.1263464",15/4/2011 16:30:52,0
2751,CAULFIELD,5,3162,"145.0268060,-37.8804790,0","145.0107986,-37.8716715","145.0428134,-37.8892854",15/4/2011 16:30:52,0
2752,CAULFIELD EAST,5,3145,"145.0419760,-37.8754120,0","145.0259686,-37.8666039","145.0579834,-37.8842190",15/4/2011 16:30:52,0
2753,CAULFIELD JUNCTION,5,3161,"145.0231591,-37.8712622,0","145.0052490,-37.8567855","145.0410692,-37.8857389",15/4/2011 16:30:52,0
2754,CAULFIELD NORTH,5,3161,"145.0247250,-37.8726670,0","145.0087176,-37.8638586","145.0407324,-37.8814743",15/4/2011 16:30:52,0
2755,CAULFIELD SOUTH,5,3162,"145.0219790,-37.8869030,0","145.0059716,-37.8780963","145.0379864,-37.8957086",15/4/2011 16:30:52,0
2756,CAURNAMONT,3,5238,"139.5833700,-34.8483690,0","139.5193403,-34.8117329","139.6473997,-34.8849888",15/4/2011 16:30:52,0
2757,CAUSEWAY,7,2604,"149.1501330,-35.3177030,0","149.1341256,-35.3085980","149.1661404,-35.3268069",15/4/2011 16:30:52,0
2758,CAUSEWAY LAKE,2,4703,"150.7892200,-23.1983440,0","150.7572052,-23.1778308","150.8212348,-23.2188541",15/4/2011 16:30:52,0
2759,CAVAN,1,2582,"148.8353790,-35.0229310,0","148.7073196,-34.9497981","148.9634384,-35.0959985",15/4/2011 16:30:52,0
2760,CAVAN,3,5094,"138.5986300,-34.8279800,0","138.5826226,-34.8188202","138.6146374,-34.8371388",15/4/2011 16:30:52,0
2761,CAVEAT,5,3660,"145.4957130,-37.0911330,0","145.4316833,-37.0555227","145.5597427,-37.1267265",15/4/2011 16:30:52,0
2762,CAVENAGH,3,5422,"139.0001590,-32.7293330,0","138.7440402,-32.5790229","139.2562778,-32.8793901",15/4/2011 16:30:52,0
2763,CAVENDISH,5,3314,"142.0399430,-37.5262050,0","141.7838242,-37.3844848","142.2960618,-37.6676565",15/4/2011 16:30:52,0
2764,CAVERSHAM,6,6055,"115.9774830,-31.8736770,0","115.9454682,-31.8547240","116.0094978,-31.8926261",15/4/2011 16:30:52,0
2765,CAVES BEACH,1,2281,"151.6401470,-33.1082120,0","151.6241396,-33.0988651","151.6561544,-33.1175579",15/4/2011 16:30:52,0
2766,CAVESIDE,4,7304,"146.4324490,-41.5956360,0","146.3684193,-41.5622494","146.4964787,-41.6290053",15/4/2011 16:30:52,0
2767,CAVETON,3,5291,"140.8053180,-37.9417960,0","140.7412883,-37.9065892","140.8693477,-37.9769859",15/4/2011 16:30:52,0
2768,CAWARRAL,2,4702,"150.6638100,-23.2553530,0","150.5997803,-23.2143409","150.7278397,-23.2963525",15/4/2011 16:30:52,0
2769,CAWDOR,1,2570,"150.6719850,-34.1086910,0","150.6079553,-34.0717288","150.7360147,-34.1456371",15/4/2011 16:30:52,0
2770,CAWDOR,2,4352,"151.9064310,-27.4631190,0","151.8744162,-27.4433161","151.9384458,-27.4829184",15/4/2011 16:30:52,0
2771,CAWONGLA,1,2474,"153.1031050,-28.5917530,0","153.0390753,-28.5525565","153.1671347,-28.6309349",15/4/2011 16:30:52,0
2772,CECIL HILLS,1,2171,"150.8531710,-33.8836960,0","150.8211562,-33.8651679","150.8851858,-33.9022201",15/4/2011 16:30:52,0
2773,CECIL PARK,1,2178,"150.8382250,-33.8747800,0","150.7741953,-33.8377159","150.9022547,-33.9118280",15/4/2011 16:30:52,0
2774,CECIL PLAINS,2,4407,"151.1909350,-27.5303410,0","150.9348162,-27.3719147","151.4470538,-27.6885393",15/4/2011 16:30:52,0
2775,CEDAR BRUSH CREEK,1,2259,"151.2582920,-33.1472550,0","151.1942623,-33.1098781","151.3223217,-33.1846160",15/4/2011 16:30:52,0
2776,CEDAR CREEK,1,2325,"151.1916360,-32.8659530,0","151.0635766,-32.7909448","151.3196954,-32.9408978",15/4/2011 16:30:52,0
2777,CEDAR CREEK,1,2484,"153.2604340,-28.4211860,0","153.2444266,-28.4113724","153.2764414,-28.4309987",15/4/2011 16:30:52,0
2778,CEDAR CREEK,2,4207,"153.1623830,-27.8150020,0","153.0983533,-27.7755197","153.2264127,-27.8544700",15/4/2011 16:30:52,0
2779,CEDAR CREEK,2,4520,"152.8029660,-27.3279820,0","152.7709512,-27.3081549","152.8349808,-27.3478056",15/4/2011 16:30:52,0
2780,CEDAR GROVE,2,4285,"152.9803970,-27.8612670,0","152.9483822,-27.8415361","153.0124118,-27.8809944",15/4/2011 16:30:52,0
2781,CEDAR PARTY,1,2429,"152.3901000,-31.7969410,0","152.3260703,-31.7589996","152.4541297,-31.8348668",15/4/2011 16:30:52,0
2782,CEDAR POCKET,2,4570,"152.7522620,-26.1985790,0","152.6882323,-26.1585252","152.8162917,-26.2386190",15/4/2011 16:30:52,0
2783,CEDAR POINT,1,2474,"152.9929780,-28.6817130,0","152.9289483,-28.6425501","153.0570077,-28.7208613",15/4/2011 16:30:52,0
2784,CEDAR VALE,2,4285,"153.0156940,-27.8798600,0","152.9836792,-27.8601324","153.0477088,-27.8995840",15/4/2011 16:30:52,0
2785,CEDARTON,2,4514,"152.8155320,-26.8617000,0","152.7835172,-26.8417902","152.8475468,-26.8816063",15/4/2011 16:30:52,0
2786,CEDUNA,3,5690,"133.6751740,-32.1260820,0","133.4190552,-31.9747652","133.9312928,-32.2771483",15/4/2011 16:30:52,0
2787,CELLS RIVER,1,2424,"152.0629410,-31.5530430,0","151.8068222,-31.4007855","152.3190598,-31.7050524",15/4/2011 16:30:52,0
2788,CEMENT MILLS,2,4352,"151.5049450,-28.3326750,0","151.2488262,-28.1754175","151.7610638,-28.4897001",15/4/2011 16:30:52,0
2789,CENTENARY HEIGHTS,2,4350,"151.9645250,-27.5803570,0","151.9485176,-27.5704665","151.9805324,-27.5902466",15/4/2011 16:30:52,0
2790,CENTENNIAL PARK,1,2021,"151.2304970,-33.8948370,0","151.2144896,-33.8855747","151.2465044,-33.9040983",15/4/2011 16:30:52,0
2791,CENTENNIAL PARK,6,6330,"117.8780720,-35.0069730,0","117.8620646,-34.9978332","117.8940794,-35.0161118",15/4/2011 16:30:52,0
2792,CENTRAL COLO,1,2756,"150.7846350,-33.4163840,0","150.7526202,-33.3977551","150.8166498,-33.4350089",15/4/2011 16:30:52,0
2793,CENTRAL MACDONALD,1,2775,"150.9754980,-33.3316580,0","150.9434832,-33.3130109","151.0075128,-33.3503011",15/4/2011 16:30:52,0
2794,CENTRAL MANGROVE,1,2250,"151.2346610,-33.2923840,0","151.2026462,-33.2737285","151.2666758,-33.3110355",15/4/2011 16:30:52,0
2795,CENTRAL PARK,5,3145,"145.0486485,-37.8667079,0","145.0326411,-37.8578988","145.0646559,-37.8755159",15/4/2011 16:30:52,0
2796,CENTRAL PLATEAU,4,7304,"146.5715570,-41.8458850,0","146.0593194,-41.5793465","147.0837946,-42.1113176",15/4/2011 16:30:52,0
2797,CENTRAL QUEENSLAND MC,2,4702,"147.3237425,-23.6332381,0","143.3906074,-21.8718927","151.2568777,-25.3945835",15/4/2011 16:30:52,0
2798,CENTRAL QUEENSLAND UNIVERSITY,2,4701,"150.6307548,-23.2502548,0","150.4892292,-22.9505129","150.7722803,-23.5499967",15/4/2011 16:30:52,0
2799,CENTRAL TILBA,1,2546,"150.0848170,-36.3117730,0","150.0207873,-36.2758000","150.1488467,-36.3477294",15/4/2011 16:30:52,0
2800,CERATODUS,2,4627,"151.1398490,-25.2885280,0","151.0117896,-25.2077916","151.2679084,-25.3692107",15/4/2011 16:30:52,0
2801,CERES,5,3221,"144.2589500,-38.1721890,0","144.2269352,-38.1546430","144.2909648,-38.1897308",15/4/2011 16:30:52,0
2802,CERVANTES,6,6511,"115.0725466,-30.4985326,0","115.0584612,-30.4861767","115.0866320,-30.5108886",15/4/2011 16:30:52,0
2803,CESSNOCK,1,2325,"151.3539930,-32.8329430,0","151.2899633,-32.7954329","151.4180227,-32.8704373",15/4/2011 16:30:52,0
2804,CESSNOCK WEST,1,2325,"151.3411150,-32.8400260,0","151.3091002,-32.8212744","151.3731298,-32.8587736",15/4/2011 16:30:52,0
2805,CETHANA,4,7306,"146.1327380,-41.4767890,0","146.1007232,-41.4600672","146.1647528,-41.4935065",15/4/2011 16:30:52,0
2806,CHADSTONE,5,3148,"145.0991950,-37.8813830,0","145.0831876,-37.8725757","145.1152024,-37.8901893",15/4/2011 16:30:52,0
2807,CHADSTONE CENTRE,5,3148,"145.0989580,-37.9142580,0","145.0989580,-37.9077260","145.1276710,-37.9142590",15/4/2011 16:30:52,0
2808,CHADWICK,6,6450,"121.8878710,-33.8203060,0","121.8238413,-33.7832183","121.9519007,-33.8573776",15/4/2011 16:30:52,0
2809,CHAELUNDI,1,2460,"152.3770800,-29.9738900,0","152.1209612,-29.8191195","152.6331988,-30.1284198",15/4/2011 16:30:52,0
2810,CHAFFEY,3,5341,"140.7008910,-34.1018710,0","140.6688762,-34.0833904","140.7329058,-34.1203476",15/4/2011 16:30:52,0
2811,CHAHPINGAH,2,4610,"151.3815780,-26.4708590,0","151.2535186,-26.3909257","151.5096374,-26.5507368",15/4/2011 16:30:52,0
2812,CHAIN OF LAGOONS,4,7215,"148.2839870,-41.6649530,0","148.2199573,-41.6316023","148.3480167,-41.6982864",15/4/2011 16:30:52,0
2813,CHAIN OF PONDS,3,5231,"138.8327940,-34.8223430,0","138.8007792,-34.8040212","138.8648088,-34.8406607",15/4/2011 16:30:52,0
2814,CHAIN VALLEY BAY,1,2259,"151.5801950,-33.1741020,0","151.5481802,-33.1554213","151.6122098,-33.1927787",15/4/2011 16:30:52,0
2815,CHAKOLA,1,2630,"149.1599510,-36.0725850,0","149.0318916,-36.0004024","149.2880104,-36.1447014",15/4/2011 16:30:52,0
2816,CHAMBERS FLAT,2,4133,"153.0879550,-27.7359550,0","153.0559402,-27.7162013","153.1199698,-27.7557051",15/4/2011 16:30:52,0
2817,CHAMBIGNE,1,2460,"152.7527280,-29.7637330,0","152.6246686,-29.6862148","152.8807874,-29.8411912",15/4/2011 16:30:52,0
2818,CHAMPION LAKES,6,6111,"115.9892240,-32.1215370,0","115.9572092,-32.1026351","116.0212388,-32.1404349",15/4/2011 16:30:52,0
2819,CHANCES PLAIN,2,4413,"150.7262410,-26.7481020,0","150.6650360,-26.7320380","150.7604000,-26.7608570",15/4/2011 16:30:52,0
2820,CHANDADA,3,5680,"134.6748160,-32.7546460,0","134.4186972,-32.6043785","134.9309348,-32.9046604",15/4/2011 16:30:52,0
2821,CHANDLER,2,4155,"153.1563300,-27.5140050,0","153.1403226,-27.5041086","153.1723374,-27.5239006",15/4/2011 16:30:52,0
2822,CHANDLER,6,6490,"118.3695699,-31.1079937,0","118.1134511,-30.9550161","118.6256887,-31.2607252",15/4/2011 16:30:52,0
2823,CHANDLERS CREEK,5,3890,"149.2024300,-37.3476330,0","148.9463112,-37.2055748","149.4585488,-37.4894230",15/4/2011 16:30:52,0
2824,CHANDLERS HILL,3,5159,"138.6191730,-35.0724050,0","138.5871582,-35.0541390","138.6511878,-35.0906669",15/4/2011 16:30:52,0
2825,CHANGERUP,6,6394,"116.8658300,-33.7305600,0","116.6097112,-33.5819575","117.1219488,-33.8789056",15/4/2011 16:30:52,0
2826,CHANNYBEARUP,6,6260,"115.9704503,-34.4240456,0","115.8423909,-34.3503815","116.0985097,-34.4976449",15/4/2011 16:30:52,0
2827,CHAPEL FLAT,5,3352,"143.8985560,-37.4749370,0","143.8825486,-37.4660813","143.9145634,-37.4837917",15/4/2011 16:30:52,0
2828,CHAPEL HILL,2,4069,"152.9501560,-27.5025930,0","152.9341486,-27.4926955","152.9661634,-27.5124896",15/4/2011 16:30:52,0
2829,CHAPEL HILL,3,5153,"138.7712760,-35.0843630,0","138.7552686,-35.0752318","138.7872834,-35.0934931",15/4/2011 16:30:52,0
2830,CHAPEL STREET NORTH,5,3141,"144.9953755,-37.8407570,0","144.9921349,-37.8348430","144.9984301,-37.8468670",15/4/2011 16:30:52,0
2831,CHAPMAN,7,2611,"149.0420210,-35.3565030,0","149.0260136,-35.3474024","149.0580284,-35.3656026",15/4/2011 16:30:52,0
2832,CHAPMAN BORE,3,5253,"139.5476160,-35.1260130,0","139.4835863,-35.0895009","139.6116457,-35.1625088",15/4/2011 16:30:52,0
2833,CHAPMAN HILL,6,6280,"115.3272200,-33.7783300,0","115.2631903,-33.7412241","115.3912497,-33.8154198",15/4/2011 16:30:52,0
2834,CHAPPLE VALE,5,3239,"143.3097520,-38.6397610,0","143.2457223,-38.6048911","143.3737817,-38.6746140",15/4/2011 16:30:52,0
2835,CHARAM,5,3318,"141.5108960,-36.9864240,0","141.3828366,-36.9150885","141.6389554,-37.0576926",15/4/2011 16:30:52,0
2836,CHARBON,1,2848,"149.9651190,-32.8812650,0","149.9491116,-32.8718941","149.9811264,-32.8906350",15/4/2011 16:30:52,0
2837,CHARLEROI,5,3695,"147.1393160,-36.3038400,0","147.0752863,-36.2678633","147.2033457,-36.3398001",15/4/2011 16:30:52,0
2838,CHARLES DARWIN,8,0820,"130.8438210,-12.4683200,0","130.8278136,-12.4574249","130.8598284,-12.4792146",10/11/2011 13:03:49,0
2839,CHARLES STURT UNIVERSITY,1,2678,,,,15/4/2011 16:30:52,0
2840,CHARLES STURT UNIVERSITY,1,2795,"149.5650612,-32.9035075,0","149.1041758,-31.4640219","150.0259466,-34.3429932",15/4/2011 16:30:52,0
2841,CHARLESTON,3,5244,"138.9005010,-34.9181820,0","138.8364713,-34.8815770","138.9645307,-34.9547707",15/4/2011 16:30:52,0
2842,CHARLESTOWN,1,2290,"151.6954540,-32.9656710,0","151.6634392,-32.9469460","151.7274688,-32.9843920",15/4/2011 16:30:52,0
2843,CHARLESTOWN,2,4608,"151.8537200,-26.3713560,0","151.7256606,-26.2913538","151.9817794,-26.4513029",15/4/2011 16:30:52,0
2844,CHARLEVILLE,2,4470,"146.2383290,-26.4016360,0","145.9822102,-26.2416182","146.4944478,-26.5614323",15/4/2011 16:30:52,0
2845,CHARLEY CREEK,6,6239,"115.9069400,-33.5813900,0","115.8749252,-33.5627965","115.9389548,-33.5999795",15/4/2011 16:30:52,0
2846,CHARLEYS FOREST,1,2622,"149.9964710,-35.3690640,0","149.9324413,-35.3326611","150.0605007,-35.4054505",15/4/2011 16:30:52,0
2847,CHARLOTTE BAY,1,2428,"152.5057830,-32.3552270,0","152.4737682,-32.3363737","152.5377978,-32.3740764",15/4/2011 16:30:52,0
2848,CHARLOTTE COVE,4,7112,"147.1470030,-43.2685940,0","147.1309956,-43.2604688","147.1630104,-43.2767181",15/4/2011 16:30:52,0
2849,CHARLTON,1,2795,"149.6224500,-33.6794280,0","149.5584203,-33.6422794","149.6864797,-33.7165606",15/4/2011 16:30:52,0
2850,CHARLTON,5,3525,"143.3504060,-36.2690070,0","143.2223466,-36.1970050","143.4784654,-36.3409427",15/4/2011 16:30:52,0
2851,CHARLTON,2,4350,"151.8486210,-27.5199440,0","151.8166062,-27.5001513","151.8806358,-27.5397331",15/4/2011 16:30:52,0
2852,CHARLTON GULLY,3,5607,"135.7931260,-34.5534450,0","135.7290963,-34.5166781","135.8571557,-34.5901956",15/4/2011 16:30:52,0
2853,CHARLWOOD,2,4309,"152.5759710,-28.0000390,0","152.5439562,-27.9803334","152.6079858,-28.0197410",15/4/2011 16:30:52,0
2854,CHARMHAVEN,1,2263,"151.5029120,-33.2299120,0","151.4708972,-33.2112432","151.5349268,-33.2485768",15/4/2011 16:30:52,0
2855,CHARNWOOD,7,2615,"149.0300620,-35.1993450,0","149.0140546,-35.1902267","149.0460694,-35.2084623",15/4/2011 16:30:52,0
2856,CHARRA,3,5690,"133.3317330,-32.0532750,0","133.0756142,-31.9018378","133.5878518,-32.2044619",15/4/2011 16:30:52,0
2857,CHARTERS TOWERS,2,4820,"146.2594033,-20.0777223,0","146.1953736,-20.0357971","146.3234330,-20.1196363",15/4/2011 16:30:52,0
2858,CHASM CREEK,4,7321,"145.9683810,-41.0679780,0","145.9523736,-41.0595651","145.9843884,-41.0763898",15/4/2011 16:30:52,0
2859,CHATHAM,1,2430,"152.4895720,-31.8999470,0","152.4575572,-31.8809994","152.5215868,-31.9188907",15/4/2011 16:30:52,0
2860,CHATHAM VALLEY,1,2787,"149.8875200,-33.8202880,0","149.8234903,-33.7832003","149.9515497,-33.8573596",15/4/2011 16:30:52,0
2861,CHATSBURY,1,2580,"149.7717770,-34.5473710,0","149.5156582,-34.4001954","150.0278958,-34.6942868",15/4/2011 16:30:52,0
2862,CHATSWOOD,1,2067,"151.1853290,-33.7956170,0","151.1693216,-33.7863439","151.2013364,-33.8048891",15/4/2011 16:30:52,0
2863,CHATSWOOD WEST,1,2067,"151.1671420,-33.7963320,0","151.1511346,-33.7870590","151.1831494,-33.8056040",15/4/2011 16:30:52,0
2864,CHATSWORTH,1,2469,"153.2486100,-29.3792380,0","153.2165952,-29.3597902","153.2806248,-29.3986821",15/4/2011 16:30:52,0
2865,CHATSWORTH,5,3379,"142.6498160,-37.8577490,0","142.3936972,-37.7166600","142.9059348,-37.9985685",15/4/2011 16:30:52,0
2866,CHATSWORTH,2,4570,"152.6228330,-26.1479440,0","152.5588033,-26.1078728","152.6868627,-26.1880014",15/4/2011 16:30:52,0
2867,CHEEPIE,2,4475,"144.9811188,-26.5582119,0","144.6478885,-26.1598811","145.3143491,-26.9565427",15/4/2011 16:30:52,0
2868,CHEERO POINT,1,2083,"151.1951420,-33.5146370,0","151.1791346,-33.5053336","151.2111494,-33.5239394",15/4/2011 16:30:52,0
2869,CHELMER,2,4068,"152.9767320,-27.5143430,0","152.9607246,-27.5044466","152.9927394,-27.5242385",15/4/2011 16:30:52,0
2870,CHELMSFORD,2,4606,"151.8127090,-26.2537770,0","151.7486793,-26.2137422","151.8767387,-26.2937980",15/4/2011 16:30:52,0
2871,CHELONA,2,4740,"149.1471390,-21.2584140,0","149.1311316,-21.2480149","149.1631464,-21.2688124",15/4/2011 16:30:52,0
2872,CHELSEA,5,3196,"145.1159410,-38.0523460,0","145.0999336,-38.0435591","145.1319484,-38.0611318",15/4/2011 16:30:52,0
2873,CHELSEA HEIGHTS,5,3196,"145.1359010,-38.0454730,0","145.1198936,-38.0366853","145.1519084,-38.0542596",15/4/2011 16:30:52,0
2874,CHELTENHAM,1,2119,"151.0793640,-33.7616900,0","151.0633566,-33.7524132","151.0953714,-33.7709658",15/4/2011 16:30:52,0
2875,CHELTENHAM,5,3192,"145.0558730,-37.9645100,0","145.0238582,-37.9469142","145.0878878,-37.9821016",15/4/2011 16:30:52,0
2876,CHELTENHAM,2,4627,"150.7742390,-25.6332800,0","150.5181202,-25.4722143","151.0303578,-25.7941287",15/4/2011 16:30:52,0
2877,CHELTENHAM,3,5014,"138.5263240,-34.8694090,0","138.5103166,-34.8602538","138.5423314,-34.8785631",15/4/2011 16:30:52,0
2878,CHELTENHAM EAST,5,3192,"145.0576142,-37.9622894,0","145.0217795,-37.9436239","145.0934490,-37.9809549",15/4/2011 16:30:52,0
2879,CHELTENHAM NORTH,5,3192,"145.0576142,-37.9622894,0","145.0217795,-37.9436239","145.0934490,-37.9809549",15/4/2011 16:30:52,0
2880,CHEPSTOWE,5,3351,"143.5165710,-37.5846320,0","143.4525413,-37.5492549","143.5806007,-37.6199923",15/4/2011 16:30:52,0
2881,CHERBOURG,2,4605,"151.9462633,-26.2939851,0","151.8822336,-26.2539642","152.0102930,-26.3339922",15/4/2011 16:30:52,0
2882,CHERMSIDE,2,4032,"153.0321420,-27.3861300,0","153.0161346,-27.3762221","153.0481494,-27.3960370",15/4/2011 16:30:52,0
2883,CHERMSIDE BC,2,4032,"153.0235897,-27.3847104,0","152.9970985,-27.3705313","153.0500809,-27.3988896",15/4/2011 16:30:52,0
